# Catholic metropolitan archdioceses of India, WITH PLACEHOLDER ZONES.
#
# The 30 archdiocese names are real and come from catholic-archdioceses-only.csv.
# They are a SKELETON: India has roughly 174 Catholic jurisdictions across the
# Latin, Syro-Malabar and Syro-Malankara churches, and this is only the
# metropolitan tier. Add your own suffragan dioceses to this file.
#
# THE ZONE NAMES ARE NOT REAL. Catholic dioceses divide into foranes or
# deaneries, decided inside each diocese and published in diocesan directories
# rather than anywhere public — so there is no honest list to bundle. Every
# zone here is a numbered placeholder, named so that nobody mistakes it for
# the real thing.
#
# Rename them on the Zones page as you learn the real forane names, or edit
# this file and re-import — importing is idempotent, so nothing is duplicated.
# A zone with no churches in it can simply be dissolved.
diocese,zone,church,city
Agra,,,
Agra,Agra Zone 1,,
Agra,Agra Zone 2,,
Bangalore,,,
Bangalore,Bangalore Zone 1,,
Bangalore,Bangalore Zone 2,,
Bhopal,,,
Bhopal,Bhopal Zone 1,,
Bhopal,Bhopal Zone 2,,
Bombay,,,
Bombay,Bombay Zone 1,,
Bombay,Bombay Zone 2,,
Calcutta,,,
Calcutta,Calcutta Zone 1,,
Calcutta,Calcutta Zone 2,,
Cuttack-Bhubaneswar,,,
Cuttack-Bhubaneswar,Cuttack-Bhubaneswar Zone 1,,
Cuttack-Bhubaneswar,Cuttack-Bhubaneswar Zone 2,,
Delhi,,,
Delhi,Delhi Zone 1,,
Delhi,Delhi Zone 2,,
Gandhinagar,,,
Gandhinagar,Gandhinagar Zone 1,,
Gandhinagar,Gandhinagar Zone 2,,
Goa and Daman,,,
Goa and Daman,Goa and Daman Zone 1,,
Goa and Daman,Goa and Daman Zone 2,,
Guwahati,,,
Guwahati,Guwahati Zone 1,,
Guwahati,Guwahati Zone 2,,
Hyderabad,,,
Hyderabad,Hyderabad Zone 1,,
Hyderabad,Hyderabad Zone 2,,
Imphal,,,
Imphal,Imphal Zone 1,,
Imphal,Imphal Zone 2,,
Madras-Mylapore,,,
Madras-Mylapore,Madras-Mylapore Zone 1,,
Madras-Mylapore,Madras-Mylapore Zone 2,,
Madurai,,,
Madurai,Madurai Zone 1,,
Madurai,Madurai Zone 2,,
Nagpur,,,
Nagpur,Nagpur Zone 1,,
Nagpur,Nagpur Zone 2,,
Patna,,,
Patna,Patna Zone 1,,
Patna,Patna Zone 2,,
Pondicherry-Cuddalore,,,
Pondicherry-Cuddalore,Pondicherry-Cuddalore Zone 1,,
Pondicherry-Cuddalore,Pondicherry-Cuddalore Zone 2,,
Raipur,,,
Raipur,Raipur Zone 1,,
Raipur,Raipur Zone 2,,
Ranchi,,,
Ranchi,Ranchi Zone 1,,
Ranchi,Ranchi Zone 2,,
Shillong,,,
Shillong,Shillong Zone 1,,
Shillong,Shillong Zone 2,,
Trivandrum (Latin),,,
Trivandrum (Latin),Trivandrum (Latin) Zone 1,,
Trivandrum (Latin),Trivandrum (Latin) Zone 2,,
Verapoly,,,
Verapoly,Verapoly Zone 1,,
Verapoly,Verapoly Zone 2,,
Visakhapatnam,,,
Visakhapatnam,Visakhapatnam Zone 1,,
Visakhapatnam,Visakhapatnam Zone 2,,
Ernakulam-Angamaly (Syro-Malabar),,,
Ernakulam-Angamaly (Syro-Malabar),Ernakulam-Angamaly (Syro-Malabar) Zone 1,,
Ernakulam-Angamaly (Syro-Malabar),Ernakulam-Angamaly (Syro-Malabar) Zone 2,,
Changanassery (Syro-Malabar),,,
Changanassery (Syro-Malabar),Changanassery (Syro-Malabar) Zone 1,,
Changanassery (Syro-Malabar),Changanassery (Syro-Malabar) Zone 2,,
Thrissur (Syro-Malabar),,,
Thrissur (Syro-Malabar),Thrissur (Syro-Malabar) Zone 1,,
Thrissur (Syro-Malabar),Thrissur (Syro-Malabar) Zone 2,,
Tellicherry (Syro-Malabar),,,
Tellicherry (Syro-Malabar),Tellicherry (Syro-Malabar) Zone 1,,
Tellicherry (Syro-Malabar),Tellicherry (Syro-Malabar) Zone 2,,
Kottayam (Syro-Malabar),,,
Kottayam (Syro-Malabar),Kottayam (Syro-Malabar) Zone 1,,
Kottayam (Syro-Malabar),Kottayam (Syro-Malabar) Zone 2,,
Trivandrum (Syro-Malankara),,,
Trivandrum (Syro-Malankara),Trivandrum (Syro-Malankara) Zone 1,,
Trivandrum (Syro-Malankara),Trivandrum (Syro-Malankara) Zone 2,,
Tiruvalla (Syro-Malankara),,,
Tiruvalla (Syro-Malankara),Tiruvalla (Syro-Malankara) Zone 1,,
Tiruvalla (Syro-Malankara),Tiruvalla (Syro-Malankara) Zone 2,,
