# Mar Thoma parishes, WITH THE COUNTRY USED AS THE ZONE.
#
# The same rows as marthoma-parishes.csv, with one difference: the zone is the
# country the parish is in. Unlike the placeholder zones this file replaced,
# these are not invented — every diocese here really does span more than one
# country (17 in all), because the Gulf congregations are attached to Kerala
# dioceses rather than to a diocese of their own.
#
# Whether that is a useful tier is your call. It groups the 152 parishes
# outside India usefully and leaves a single large "India" zone in most
# dioceses, which may be more clutter than help. Import this one OR
# marthoma-parishes.csv, not both.
# Source: the Mar Thoma parish list published at marthoma.in, as collected in
#   https://docs.google.com/spreadsheets/d/1QVPcgFuO638L673NJ5fqtwqwq_obO4lF/edit
# Converted 2026-08-29. 1114 parishes in 14 dioceses.
#
diocese,zone,church,city
ADOOR DIOCESE,India,ADOOR IMMANUEL MAR THOMA CHURCH,Adoor
ADOOR DIOCESE,United Arab Emirates,AL-AIN MAR THOMA CHURCH,Al-Ain
ADOOR DIOCESE,India,ANGADICKAL SALEM MAR THOMA CHURCH,Angadical North
ADOOR DIOCESE,India,ANTHICHIRA ST JOHNS MAR THOMA CHURCH,Adoor
ADOOR DIOCESE,India,ARINALLOOR BETHEL MAR THOMA CHURCH,Arinallur South
ADOOR DIOCESE,India,ATHIRUNKAL SALEM MAR THOMA CHURCH,Athirumkal
ADOOR DIOCESE,India,AYANIVELIKULANGARA BETHEL MAR THOMA CHURCH,Sv Market
ADOOR DIOCESE,India,CHACHIPUNNA SALEM MAR THOMA CHURCH,Punnala
ADOOR DIOCESE,India,CHARUMMOODU CHRISTHOSE MAR THOMA CHURCH,Komalloor
ADOOR DIOCESE,India,CHATHANNURPUZHA SALEM MAR THOMA CHURCH,Pathanamthitta
ADOOR DIOCESE,India,CHAVARA ST THOMAS MAR THOMA CHURCH,Chavara
ADOOR DIOCESE,India,CHEMPANARUVI ST THOMAS MAR THOMA CHURCH,Chembanaruvi
ADOOR DIOCESE,India,CHOORACODE ST MATHEWS MAR THOMA CHURCH,Choorakodu
ADOOR DIOCESE,India,CHUNAKARA ST THOMAS MAR THOMA CHURCH,Komallor
ADOOR DIOCESE,India,ELAMPALLIL EBENEZER MAR THOMA CHURCH,Payyanalloor
ADOOR DIOCESE,India,ELIKATTOOR ZION MAR THOMA CHURCH,Elikkattoor
ADOOR DIOCESE,India,ELIPPAKULAM ST THOMAS MAR THOMA CHURCH,Elippakulam
ADOOR DIOCESE,India,ENATHU MAR THOMA CHURCH,Enathu
ADOOR DIOCESE,India,EZHAMKULAM (ADOOR) SALEM MAR THOMA CHURCH,Chayalode
ADOOR DIOCESE,United Arab Emirates,FUJAIRAH IMMANUEL MAR THOMA CHURCH,Fujairah
ADOOR DIOCESE,India,IRANIKKUDY IMMANUEL MAR THOMA CHURCH,Ayiranikudy
ADOOR DIOCESE,India,KADAMPANAD IMMANUEL MAR THOMA CHURCH,Kadampanadu South
ADOOR DIOCESE,India,KADAMPANAD SALEM MAR THOMA CHURCH,Kadambanad North
ADOOR DIOCESE,India,KADASSERRI ST PETERS MAR THOMA CHURCH,Poonkulanji
ADOOR DIOCESE,India,KAIPATTOOR BETHEL MAR THOMA CHURCH,Kaipattur
ADOOR DIOCESE,India,KAIPATTOOR ST THOMAS MAR THOMA CHURCH,Kaipattur
ADOOR DIOCESE,India,KALAYAPURAM SALEM MAR THOMA CHURCH,Kalyapuram
ADOOR DIOCESE,India,KALLELIBHAGOM SALEM MAR THOMA CHURCH,Kallelibhagam
ADOOR DIOCESE,India,KANNAMKODU MAR THOMA CHURCH,Adoor
ADOOR DIOCESE,India,KAPPIL ST THOMAS MAR THOMA CHURCH,Krishnapuram
ADOOR DIOCESE,India,KATTANAM ST THOMAS MAR THOMA CHURCH,Pallickal
ADOOR DIOCESE,India,KAYAMKULAM SALEM MAR THOMA CHURCH,Kayamkulam H O
ADOOR DIOCESE,India,KIZHAKKUPURAM BETHEL MAR THOMA CHURCH,Kaithaparambu
ADOOR DIOCESE,India,KODUMON SEHION MAR THOMA CHURCH,Kodumon East
