# Mar Thoma Syrian Church — every parish and congregation, under its diocese.
#
# The zone column is deliberately empty. The published list has no tier
# between the diocese and the parish, and inventing one would put names in
# your console that no one in the church would recognise. Add zones later
# from Manage → Churches if your diocese actually uses them; a parish with no
# zone is a normal, supported thing here.
#
# The city is derived from the postal address, not published as its own
# field: the post-office locality for Indian parishes, the town for parishes
# abroad. 1062 of 1114 rows resolved to something; the rest are blank rather
# than guessed. A post office is not always the place the parish is named
# after, so treat the column as a starting point and correct what you notice.
# Source: the Mar Thoma parish list published at marthoma.in, as collected in
#   https://docs.google.com/spreadsheets/d/1QVPcgFuO638L673NJ5fqtwqwq_obO4lF/edit
# Converted 2026-08-29. 1114 parishes in 14 dioceses.
#
diocese,zone,church,city
ADOOR DIOCESE,,ADOOR IMMANUEL MAR THOMA CHURCH,Adoor
ADOOR DIOCESE,,AL-AIN MAR THOMA CHURCH,Al-Ain
ADOOR DIOCESE,,ANGADICKAL SALEM MAR THOMA CHURCH,Angadical North
ADOOR DIOCESE,,ANTHICHIRA ST JOHNS MAR THOMA CHURCH,Adoor
ADOOR DIOCESE,,ARINALLOOR BETHEL MAR THOMA CHURCH,Arinallur South
ADOOR DIOCESE,,ATHIRUNKAL SALEM MAR THOMA CHURCH,Athirumkal
ADOOR DIOCESE,,AYANIVELIKULANGARA BETHEL MAR THOMA CHURCH,Sv Market
ADOOR DIOCESE,,CHACHIPUNNA SALEM MAR THOMA CHURCH,Punnala
ADOOR DIOCESE,,CHARUMMOODU CHRISTHOSE MAR THOMA CHURCH,Komalloor
ADOOR DIOCESE,,CHATHANNURPUZHA SALEM MAR THOMA CHURCH,Pathanamthitta
ADOOR DIOCESE,,CHAVARA ST THOMAS MAR THOMA CHURCH,Chavara
ADOOR DIOCESE,,CHEMPANARUVI ST THOMAS MAR THOMA CHURCH,Chembanaruvi
ADOOR DIOCESE,,CHOORACODE ST MATHEWS MAR THOMA CHURCH,Choorakodu
ADOOR DIOCESE,,CHUNAKARA ST THOMAS MAR THOMA CHURCH,Komallor
ADOOR DIOCESE,,ELAMPALLIL EBENEZER MAR THOMA CHURCH,Payyanalloor
ADOOR DIOCESE,,ELIKATTOOR ZION MAR THOMA CHURCH,Elikkattoor
ADOOR DIOCESE,,ELIPPAKULAM ST THOMAS MAR THOMA CHURCH,Elippakulam
ADOOR DIOCESE,,ENATHU MAR THOMA CHURCH,Enathu
ADOOR DIOCESE,,EZHAMKULAM (ADOOR) SALEM MAR THOMA CHURCH,Chayalode
ADOOR DIOCESE,,FUJAIRAH IMMANUEL MAR THOMA CHURCH,Fujairah
ADOOR DIOCESE,,IRANIKKUDY IMMANUEL MAR THOMA CHURCH,Ayiranikudy
ADOOR DIOCESE,,KADAMPANAD IMMANUEL MAR THOMA CHURCH,Kadampanadu South
ADOOR DIOCESE,,KADAMPANAD SALEM MAR THOMA CHURCH,Kadambanad North
ADOOR DIOCESE,,KADASSERRI ST PETERS MAR THOMA CHURCH,Poonkulanji
ADOOR DIOCESE,,KAIPATTOOR BETHEL MAR THOMA CHURCH,Kaipattur
ADOOR DIOCESE,,KAIPATTOOR ST THOMAS MAR THOMA CHURCH,Kaipattur
ADOOR DIOCESE,,KALAYAPURAM SALEM MAR THOMA CHURCH,Kalyapuram
ADOOR DIOCESE,,KALLELIBHAGOM SALEM MAR THOMA CHURCH,Kallelibhagam
ADOOR DIOCESE,,KANNAMKODU MAR THOMA CHURCH,Adoor
ADOOR DIOCESE,,KAPPIL ST THOMAS MAR THOMA CHURCH,Krishnapuram
ADOOR DIOCESE,,KATTANAM ST THOMAS MAR THOMA CHURCH,Pallickal
ADOOR DIOCESE,,KAYAMKULAM SALEM MAR THOMA CHURCH,Kayamkulam H O
ADOOR DIOCESE,,KIZHAKKUPURAM BETHEL MAR THOMA CHURCH,Kaithaparambu
ADOOR DIOCESE,,KODUMON SEHION MAR THOMA CHURCH,Kodumon East
ADOOR DIOCESE,,KOLLAKA ST THOMAS MAR THOMA CHURCH,Kollaka
ADOOR DIOCESE,,KOODAL BETHEL MAR THOMA CHURCH,Koodal (Pta
ADOOR DIOCESE,,KOTTAMPALLY BETHEL MAR THOMA CHURCH,Ochira
ADOOR DIOCESE,,KOTTANALLOOR SALEM MAR THOMA CHURCH,Adoor
ADOOR DIOCESE,,KOTTARA ST PAULS MAR THOMA CHURCH,Adoor
ADOOR DIOCESE,,KOZHICODE ST THOMAS MAR THOMA CHURCH,S V Market
ADOOR DIOCESE,,KULAKKADA ST THOMAS MAR THOMA CHURCH,Kulakkada East
ADOOR DIOCESE,,KUNNATHOOR SALEM MAR THOMA CHURCH,Kunnathoor
ADOOR DIOCESE,,KUNNIDA ST THOMAS MAR THOMA CHURCH,Chelikuzhy
ADOOR DIOCESE,,KURATHICADU JERUSALEM MAR THOMA CHURCH,Thekkekara
ADOOR DIOCESE,,KURATHICADU ST THOMAS MAR THOMA CHURCH,Thekkekara
ADOOR DIOCESE,,MANNADI MAR THOMA CHURCH,Mannady
ADOOR DIOCESE,,MANNADY ST THOMAS MAR THOMA CHURCH,Mannady
ADOOR DIOCESE,,MANNAROADE BETHLEHEM MAR THOMA CHURCH,Kadampanad North
ADOOR DIOCESE,,MOONNALAM ST THOMAS MAR THOMA CHURCH,Adoor
ADOOR DIOCESE,,NILACKAL JERUSALEM MAR THOMA CHURCH,Thuvayoor South
ADOOR DIOCESE,,NJAKANAL SALEM MAR THOMA CHURCH,Njakkanal
ADOOR DIOCESE,,NOORANAD SALEM MAR THOMA CHURCH,Nooranad
ADOOR DIOCESE,,PALLICKEL ST THOMAS MAR THOMA CHURCH,Pallickal
ADOOR DIOCESE,,PANAYIL HEBRON MAR THOMA CHURCH,Panayil
